GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   MMASib

DATE:   2015-12-27 (year-month-day)
TIME:   18:24:20 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION N_ANTS EVAPORATION SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 5 0.045 3.1622776601683795 10 15250
100 5 0.045 3.1622776601683795 10 14400
100 5 0.045 3.1622776601683795 10 13800
100 5 0.045 3.1622776601683795 10 13500
100 5 0.045 3.1622776601683795 10 15000
100 5 0.045 3.1622776601683795 10 15300
100 5 0.045 3.1622776601683795 10 17250
100 5 0.045 3.1622776601683795 10 11350
100 5 0.045 3.1622776601683795 10 13650
100 5 0.045 3.1622776601683795 10 14800
100 5 0.045 3.1622776601683795 10 13750
100 5 0.045 3.1622776601683795 10 14850
100 5 0.045 3.1622776601683795 10 14250
100 5 0.045 3.1622776601683795 10 14600
100 5 0.045 3.1622776601683795 10 15750
100 5 0.045 3.1622776601683795 10 13150
100 5 0.045 3.1622776601683795 10 14150
100 5 0.045 3.1622776601683795 10 14550
100 5 0.045 3.1622776601683795 10 17950
100 5 0.045 3.1622776601683795 10 14450
100 5 0.045 3.1622776601683795 10 14100
100 5 0.045 3.1622776601683795 10 14700
100 5 0.045 3.1622776601683795 10 12350
100 5 0.045 3.1622776601683795 10 13300
100 5 0.045 3.1622776601683795 10 10900
100 5 0.045 3.1622776601683795 10 13100
100 5 0.045 3.1622776601683795 10 11550
100 5 0.045 3.1622776601683795 10 13150
100 5 0.045 3.1622776601683795 10 13700
100 5 0.045 3.1622776601683795 10 16050
100 5 0.045 3.1622776601683795 10 12800
100 5 0.045 3.1622776601683795 10 13200
100 5 0.045 3.1622776601683795 10 14550
100 5 0.045 3.1622776601683795 10 15250
100 5 0.045 3.1622776601683795 10 14550
100 5 0.045 3.1622776601683795 10 14050
100 5 0.045 3.1622776601683795 10 14150
100 5 0.045 3.1622776601683795 10 16850
100 5 0.045 3.1622776601683795 10 13700
100 5 0.045 3.1622776601683795 10 16200
100 5 0.045 3.1622776601683795 10 14800
100 5 0.045 3.1622776601683795 10 13600
100 5 0.045 3.1622776601683795 10 13600
100 5 0.045 3.1622776601683795 10 13000
100 5 0.045 3.1622776601683795 10 17800
100 5 0.045 3.1622776601683795 10 13350
100 5 0.045 3.1622776601683795 10 13900
100 5 0.045 3.1622776601683795 10 12750
100 5 0.045 3.1622776601683795 10 13850
100 5 0.045 3.1622776601683795 10 14550
100 5 0.045 3.1622776601683795 10 13200
100 5 0.045 3.1622776601683795 10 14700
100 5 0.045 3.1622776601683795 10 16550
100 5 0.045 3.1622776601683795 10 13550
100 5 0.045 3.1622776601683795 10 15350
100 5 0.045 3.1622776601683795 10 14400
100 5 0.045 3.1622776601683795 10 13350
100 5 0.045 3.1622776601683795 10 23250
100 5 0.045 3.1622776601683795 10 13200
100 5 0.045 3.1622776601683795 10 13400
100 5 0.045 3.1622776601683795 10 15800
100 5 0.045 3.1622776601683795 10 12250
100 5 0.045 3.1622776601683795 10 12800
100 5 0.045 3.1622776601683795 10 13350
100 5 0.045 3.1622776601683795 10 13700
100 5 0.045 3.1622776601683795 10 10400
100 5 0.045 3.1622776601683795 10 13650
100 5 0.045 3.1622776601683795 10 13900
100 5 0.045 3.1622776601683795 10 12900
100 5 0.045 3.1622776601683795 10 11950
100 5 0.045 3.1622776601683795 10 11150
100 5 0.045 3.1622776601683795 10 16100
100 5 0.045 3.1622776601683795 10 13150
100 5 0.045 3.1622776601683795 10 14700
100 5 0.045 3.1622776601683795 10 12550
100 5 0.045 3.1622776601683795 10 14050
100 5 0.045 3.1622776601683795 10 12950
100 5 0.045 3.1622776601683795 10 13400
100 5 0.045 3.1622776601683795 10 11800
100 5 0.045 3.1622776601683795 10 13700
100 5 0.045 3.1622776601683795 10 12350
100 5 0.045 3.1622776601683795 10 14200
100 5 0.045 3.1622776601683795 10 17350
100 5 0.045 4.7434164902525691 10 15000
100 5 0.045 4.7434164902525691 10 15500
100 5 0.045 4.7434164902525691 10 14450
100 5 0.045 4.7434164902525691 10 12700
100 5 0.045 4.7434164902525691 10 14050
100 5 0.045 4.7434164902525691 10 21700
100 5 0.045 4.7434164902525691 10 13450
100 5 0.045 4.7434164902525691 10 14500
100 5 0.045 4.7434164902525691 10 14200
100 5 0.045 4.7434164902525691 10 16150
100 5 0.045 4.7434164902525691 10 15900
100 5 0.045 4.7434164902525691 10 15200
100 5 0.045 4.7434164902525691 10 16200
100 5 0.045 4.7434164902525691 10 20000
100 5 0.045 4.7434164902525691 10 13700
100 5 0.045 4.7434164902525691 10 14100
100 5 0.045 4.7434164902525691 10 21700
100 5 0.045 4.7434164902525691 10 12250
100 5 0.045 4.7434164902525691 10 15150
100 5 0.045 4.7434164902525691 10 13650
100 5 0.045 4.7434164902525691 10 15200
100 5 0.045 4.7434164902525691 10 18150
100 5 0.045 4.7434164902525691 10 13500
100 5 0.045 4.7434164902525691 10 14100
100 5 0.045 4.7434164902525691 10 16750
100 5 0.045 4.7434164902525691 10 15600
100 5 0.045 4.7434164902525691 10 12900
100 5 0.045 4.7434164902525691 10 14700
100 5 0.045 4.7434164902525691 10 11150
100 5 0.045 4.7434164902525691 10 15250
100 5 0.045 4.7434164902525691 10 16500
100 5 0.045 4.7434164902525691 10 21950
100 5 0.045 4.7434164902525691 10 16000
100 5 0.045 4.7434164902525691 10 15400
100 5 0.045 4.7434164902525691 10 15950
100 5 0.045 4.7434164902525691 10 14000
100 5 0.045 4.7434164902525691 10 17300
100 5 0.045 4.7434164902525691 10 14000
100 5 0.045 4.7434164902525691 10 14850
100 5 0.045 4.7434164902525691 10 13450
100 5 0.045 4.7434164902525691 10 13100
100 5 0.045 4.7434164902525691 10 14200
100 5 0.045 4.7434164902525691 10 16950
100 5 0.045 4.7434164902525691 10 14450
100 5 0.045 4.7434164902525691 10 13500
100 5 0.045 4.7434164902525691 10 12450
100 5 0.045 4.7434164902525691 10 12450
100 5 0.045 4.7434164902525691 10 12350
100 5 0.045 4.7434164902525691 10 16200
100 5 0.045 4.7434164902525691 10 25750
100 5 0.045 4.7434164902525691 10 12350
100 5 0.045 4.7434164902525691 10 12800
100 5 0.045 4.7434164902525691 10 19000
100 5 0.045 4.7434164902525691 10 14150
100 5 0.045 4.7434164902525691 10 21600
100 5 0.045 4.7434164902525691 10 15700
100 5 0.045 4.7434164902525691 10 13100
100 5 0.045 4.7434164902525691 10 12900
100 5 0.045 4.7434164902525691 10 13850
100 5 0.045 4.7434164902525691 10 12150
100 5 0.045 4.7434164902525691 10 14300
100 5 0.045 4.7434164902525691 10 15550
100 5 0.045 4.7434164902525691 10 14250
100 5 0.045 4.7434164902525691 10 15150
100 5 0.045 4.7434164902525691 10 14250
100 5 0.045 4.7434164902525691 10 15350
100 5 0.045 4.7434164902525691 10 15300
100 5 0.045 4.7434164902525691 10 14950
100 5 0.045 4.7434164902525691 10 14750
100 5 0.045 4.7434164902525691 10 13800
100 5 0.045 4.7434164902525691 10 14200
100 5 0.045 4.7434164902525691 10 14050
100 5 0.045 4.7434164902525691 10 14550
100 5 0.045 4.7434164902525691 10 17600
100 5 0.045 4.7434164902525691 10 15000
100 5 0.045 4.7434164902525691 10 15150
100 5 0.045 4.7434164902525691 10 16950
100 5 0.045 4.7434164902525691 10 14150
100 5 0.045 4.7434164902525691 10 13550
100 5 0.045 4.7434164902525691 10 17700
100 5 0.045 4.7434164902525691 10 15050
100 5 0.045 4.7434164902525691 10 13550
100 5 0.045 4.7434164902525691 10 13600
100 5 0.045 4.7434164902525691 10 13000
100 5 0.045 4.7434164902525691 10 14550
100 5 0.045 4.7434164902525691 10 12050
100 5 0.045 4.7434164902525691 10 13800
100 5 0.045 4.7434164902525691 10 14800
100 5 0.045 4.7434164902525691 10 18650
100 5 0.045 4.7434164902525691 10 13450
100 5 0.045 6.324555320336759 10 11500
100 5 0.045 6.324555320336759 10 13450
100 5 0.045 6.324555320336759 10 14650
100 5 0.045 6.324555320336759 10 15850
100 5 0.045 6.324555320336759 10 14850
100 5 0.045 6.324555320336759 10 14900
100 5 0.045 6.324555320336759 10 14800
100 5 0.045 6.324555320336759 10 15750
100 5 0.045 6.324555320336759 10 17200
100 5 0.045 6.324555320336759 10 16050
100 5 0.045 6.324555320336759 10 16650
100 5 0.045 6.324555320336759 10 15750
100 5 0.045 6.324555320336759 10 13600
100 5 0.045 6.324555320336759 10 15800
100 5 0.045 6.324555320336759 10 16450
100 5 0.045 6.324555320336759 10 18800
100 5 0.045 6.324555320336759 10 36300
100 5 0.045 6.324555320336759 10 15000
100 5 0.045 6.324555320336759 10 15950
100 5 0.045 6.324555320336759 10 13950
100 5 0.045 6.324555320336759 10 17500
100 5 0.045 6.324555320336759 10 17500
100 5 0.045 6.324555320336759 10 14450
100 5 0.045 6.324555320336759 10 16200
100 5 0.045 6.324555320336759 10 16500
100 5 0.045 6.324555320336759 10 15600
100 5 0.045 6.324555320336759 10 17200
100 5 0.045 6.324555320336759 10 15150
100 5 0.045 6.324555320336759 10 16300
100 5 0.045 6.324555320336759 10 14800
100 5 0.045 6.324555320336759 10 14500
100 5 0.045 6.324555320336759 10 18350
100 5 0.045 6.324555320336759 10 17200
100 5 0.045 6.324555320336759 10 22150
100 5 0.045 6.324555320336759 10 15900
100 5 0.045 6.324555320336759 10 13800
100 5 0.045 6.324555320336759 10 16650
100 5 0.045 6.324555320336759 10 16300
100 5 0.045 6.324555320336759 10 14750
100 5 0.045 6.324555320336759 10 15400
100 5 0.045 6.324555320336759 10 19700
100 5 0.045 6.324555320336759 10 14750
100 5 0.045 6.324555320336759 10 15550
100 5 0.045 6.324555320336759 10 14650
100 5 0.045 6.324555320336759 10 17900
100 5 0.045 6.324555320336759 10 14900
100 5 0.045 6.324555320336759 10 16850
100 5 0.045 6.324555320336759 10 17750
100 5 0.045 6.324555320336759 10 15800
100 5 0.045 6.324555320336759 10 16250
100 5 0.045 6.324555320336759 10 14850
100 5 0.045 6.324555320336759 10 15850
100 5 0.045 6.324555320336759 10 15100
100 5 0.045 6.324555320336759 10 17300
100 5 0.045 6.324555320336759 10 15300
100 5 0.045 6.324555320336759 10 24000
100 5 0.045 6.324555320336759 10 16500
100 5 0.045 6.324555320336759 10 14800
100 5 0.045 6.324555320336759 10 15900
100 5 0.045 6.324555320336759 10 16200
100 5 0.045 6.324555320336759 10 14550
100 5 0.045 6.324555320336759 10 21200
100 5 0.045 6.324555320336759 10 16700
100 5 0.045 6.324555320336759 10 19000
100 5 0.045 6.324555320336759 10 13550
100 5 0.045 6.324555320336759 10 14150
100 5 0.045 6.324555320336759 10 13850
100 5 0.045 6.324555320336759 10 21700
100 5 0.045 6.324555320336759 10 17750
100 5 0.045 6.324555320336759 10 12950
100 5 0.045 6.324555320336759 10 13750
100 5 0.045 6.324555320336759 10 17400
100 5 0.045 6.324555320336759 10 14950
100 5 0.045 6.324555320336759 10 16250
100 5 0.045 6.324555320336759 10 16550
100 5 0.045 6.324555320336759 10 16200
100 5 0.045 6.324555320336759 10 16450
100 5 0.045 6.324555320336759 10 20600
100 5 0.045 6.324555320336759 10 13700
100 5 0.045 6.324555320336759 10 14400
100 5 0.045 6.324555320336759 10 14950
100 5 0.045 6.324555320336759 10 14600
100 5 0.045 6.324555320336759 10 17700
100 5 0.045 6.324555320336759 10 16550
100 5 0.045 6.324555320336759 10 15550
100 5 0.045 6.324555320336759 10 16050
100 5 0.045 6.324555320336759 10 14400
100 5 0.045 6.324555320336759 10 15250
100 5 0.045 6.324555320336759 10 17800
100 5 0.045 6.324555320336759 10 14650
100 5 0.045 7.905694150420949 10 17700
100 5 0.045 7.905694150420949 10 17400
100 5 0.045 7.905694150420949 10 18400
100 5 0.045 7.905694150420949 10 16150
100 5 0.045 7.905694150420949 10 16700
100 5 0.045 7.905694150420949 10 15600
100 5 0.045 7.905694150420949 10 19550
100 5 0.045 7.905694150420949 10 17000
100 5 0.045 7.905694150420949 10 21600
100 5 0.045 7.905694150420949 10 24850
100 5 0.045 7.905694150420949 10 17250
100 5 0.045 7.905694150420949 10 27650
100 5 0.045 7.905694150420949 10 19200
100 5 0.045 7.905694150420949 10 14700
100 5 0.045 7.905694150420949 10 18650
100 5 0.045 7.905694150420949 10 14800
100 5 0.045 7.905694150420949 10 17950
100 5 0.045 7.905694150420949 10 26250
100 5 0.045 7.905694150420949 10 18900
100 5 0.045 7.905694150420949 10 16000
100 5 0.045 7.905694150420949 10 17800
100 5 0.045 7.905694150420949 10 18600
100 5 0.045 7.905694150420949 10 17400
100 5 0.045 7.905694150420949 10 20750
100 5 0.045 7.905694150420949 10 16050
100 5 0.045 7.905694150420949 10 26150
100 5 0.045 7.905694150420949 10 15300
100 5 0.045 7.905694150420949 10 17350
100 5 0.045 7.905694150420949 10 18150
100 5 0.045 7.905694150420949 10 17950
100 5 0.045 7.905694150420949 10 19850
100 5 0.045 7.905694150420949 10 16250
100 5 0.045 7.905694150420949 10 15300
100 5 0.045 7.905694150420949 10 18550
100 5 0.045 7.905694150420949 10 19450
100 5 0.045 7.905694150420949 10 16100
100 5 0.045 7.905694150420949 10 19850
100 5 0.045 7.905694150420949 10 19600
100 5 0.045 7.905694150420949 10 17050
100 5 0.045 7.905694150420949 10 15800
100 5 0.045 7.905694150420949 10 16250
100 5 0.045 7.905694150420949 10 22550
100 5 0.045 7.905694150420949 10 18350
100 5 0.045 7.905694150420949 10 15550
100 5 0.045 7.905694150420949 10 37750
100 5 0.045 7.905694150420949 10 31700
100 5 0.045 7.905694150420949 10 16300
100 5 0.045 7.905694150420949 10 17900
100 5 0.045 7.905694150420949 10 18150
100 5 0.045 7.905694150420949 10 18200
100 5 0.045 7.905694150420949 10 14950
100 5 0.045 7.905694150420949 10 17000
100 5 0.045 7.905694150420949 10 32650
100 5 0.045 7.905694150420949 10 19850
100 5 0.045 7.905694150420949 10 21650
100 5 0.045 7.905694150420949 10 23450
100 5 0.045 7.905694150420949 10 13250
100 5 0.045 7.905694150420949 10 16750
100 5 0.045 7.905694150420949 10 17750
100 5 0.045 7.905694150420949 10 17200
100 5 0.045 7.905694150420949 10 15950
100 5 0.045 7.905694150420949 10 21850
100 5 0.045 7.905694150420949 10 16200
100 5 0.045 7.905694150420949 10 15900
100 5 0.045 7.905694150420949 10 17150
100 5 0.045 7.905694150420949 10 15300
100 5 0.045 7.905694150420949 10 23400
100 5 0.045 7.905694150420949 10 14250
100 5 0.045 7.905694150420949 10 17000
100 5 0.045 7.905694150420949 10 44800
100 5 0.045 7.905694150420949 10 17150
100 5 0.045 7.905694150420949 10 14450
100 5 0.045 7.905694150420949 10 17800
100 5 0.045 7.905694150420949 10 18500
100 5 0.045 7.905694150420949 10 17250
100 5 0.045 7.905694150420949 10 21650
100 5 0.045 7.905694150420949 10 27950
100 5 0.045 7.905694150420949 10 18050
100 5 0.045 7.905694150420949 10 17150
100 5 0.045 7.905694150420949 10 18550
100 5 0.045 7.905694150420949 10 16500
100 5 0.045 7.905694150420949 10 19100
100 5 0.045 7.905694150420949 10 18300
100 5 0.045 7.905694150420949 10 18550
100 5 0.045 7.905694150420949 10 22050
100 5 0.045 7.905694150420949 10 15200
100 5 0.045 7.905694150420949 10 19400
100 5 0.045 7.905694150420949 10 20000
100 5 0.045 7.905694150420949 10 18850
100 5 0.045 7.905694150420949 10 28500
100 5 0.045 9.4868329805051381 10 16050
100 5 0.045 9.4868329805051381 10 36800
100 5 0.045 9.4868329805051381 10 19650
100 5 0.045 9.4868329805051381 10 24800
100 5 0.045 9.4868329805051381 10 17450
100 5 0.045 9.4868329805051381 10 17400
100 5 0.045 9.4868329805051381 10 20600
100 5 0.045 9.4868329805051381 10 16800
100 5 0.045 9.4868329805051381 10 19750
100 5 0.045 9.4868329805051381 10 65850
100 5 0.045 9.4868329805051381 10 19850
100 5 0.045 9.4868329805051381 10 18800
100 5 0.045 9.4868329805051381 10 22150
100 5 0.045 9.4868329805051381 10 37200
100 5 0.045 9.4868329805051381 10 23250
100 5 0.045 9.4868329805051381 10 22050
100 5 0.045 9.4868329805051381 10 30850
100 5 0.045 9.4868329805051381 10 19950
100 5 0.045 9.4868329805051381 10 19250
100 5 0.045 9.4868329805051381 10 19400
100 5 0.045 9.4868329805051381 10 24150
100 5 0.045 9.4868329805051381 10 19500
100 5 0.045 9.4868329805051381 10 26350
100 5 0.045 9.4868329805051381 10 27600
100 5 0.045 9.4868329805051381 10 16950
100 5 0.045 9.4868329805051381 10 22600
100 5 0.045 9.4868329805051381 10 21300
100 5 0.045 9.4868329805051381 10 26600
100 5 0.045 9.4868329805051381 10 22000
100 5 0.045 9.4868329805051381 10 19200
100 5 0.045 9.4868329805051381 10 23600
100 5 0.045 9.4868329805051381 10 19100
100 5 0.045 9.4868329805051381 10 18450
100 5 0.045 9.4868329805051381 10 36750
100 5 0.045 9.4868329805051381 10 27750
100 5 0.045 9.4868329805051381 10 17600
100 5 0.045 9.4868329805051381 10 18650
100 5 0.045 9.4868329805051381 10 17100
100 5 0.045 9.4868329805051381 10 18300
100 5 0.045 9.4868329805051381 10 30350
100 5 0.045 9.4868329805051381 10 20350
100 5 0.045 9.4868329805051381 10 18300
100 5 0.045 9.4868329805051381 10 30800
100 5 0.045 9.4868329805051381 10 18200
