GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   cGA

DATE:   2016-1-8 (year-month-day)
TIME:   8:32:18 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION K SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 25 10 6 1380
100 25 10 7 1148
100 25 10 7 1638
100 25 10 7 1372
100 25 10 7 1834
100 25 10 7 2240
100 25 10 7 882
100 25 10 7 1092
100 25 10 7 1890
100 25 10 7 2562
100 25 10 7 1050
100 25 10 7 854
100 25 10 7 2352
100 25 10 7 1876
100 25 10 7 1092
100 25 10 7 1134
100 25 10 7 2982
100 25 10 7 2870
100 25 10 7 4130
100 25 10 7 1316
100 25 10 7 1134
100 25 10 7 1050
100 25 10 7 1134
100 25 10 7 1414
100 25 10 7 3178
100 25 10 7 2086
100 25 10 7 1106
100 25 10 7 2058
100 25 10 7 658
100 25 10 7 3668
100 25 10 7 1134
100 25 10 7 1218
100 25 10 7 1666
100 25 10 7 714
100 25 10 7 2352
100 25 10 7 1050
100 25 10 7 2744
100 25 10 7 532
100 25 10 7 2086
100 25 10 7 1750
100 25 10 7 1288
100 25 10 7 714
100 25 10 7 4438
100 25 10 7 1414
100 25 10 7 1176
100 25 10 7 1120
100 25 10 7 4228
100 25 10 7 1988
100 25 10 7 714
100 25 10 7 2002
100 25 10 7 3038
100 25 10 7 2884
100 25 10 7 2016
100 25 10 7 1890
100 25 10 7 1638
100 25 10 7 1680
100 25 10 7 1078
100 25 10 7 1078
100 25 10 7 1834
100 25 10 7 1638
100 25 10 7 2184
100 25 10 7 2884
100 25 10 7 1932
100 25 10 7 1484
100 25 10 7 1386
100 25 10 7 1918
100 25 10 7 1750
100 25 10 7 1596
100 25 10 7 2240
100 25 10 7 1246
100 25 10 7 1876
100 25 10 7 1722
100 25 10 7 896
100 25 10 7 1932
100 25 10 7 1288
100 25 10 7 1344
100 25 10 7 518
100 25 10 7 1470
100 25 10 7 2688
100 25 10 7 364
100 25 10 7 1862
100 25 10 7 1470
100 25 10 7 2828
100 25 10 7 4256
100 25 10 7 2870
100 25 10 7 1778
100 25 10 7 1442
100 25 10 7 1246
100 25 10 7 3262
100 25 10 7 1540
100 25 10 7 2156
100 25 10 7 2198
100 25 10 7 588
100 25 10 7 1190
100 25 10 7 1274
100 25 10 7 770
100 25 10 7 1736
100 25 10 7 1610
100 25 10 7 3360
100 25 10 7 3738
100 25 10 7 588
100 25 10 8 1424
100 25 10 8 1552
100 25 10 8 1168
100 25 10 8 1824
100 25 10 8 4576
100 25 10 8 2992
100 25 10 8 1568
100 25 10 8 896
100 25 10 8 1184
100 25 10 8 2592
100 25 10 8 1904
100 25 10 8 880
100 25 10 8 1568
100 25 10 8 944
100 25 10 8 1344
100 25 10 8 3392
100 25 10 8 1872
100 25 10 8 1520
100 25 10 8 1440
100 25 10 8 640
100 25 10 8 784
100 25 10 8 3728
100 25 10 8 2560
100 25 10 8 1216
100 25 10 8 2976
100 25 10 8 800
100 25 10 8 1216
100 25 10 8 2272
100 25 10 8 3568
100 25 10 8 2048
100 25 10 8 1008
100 25 10 8 1456
100 25 10 8 1152
100 25 10 8 2128
100 25 10 8 1392
100 25 10 8 2448
100 25 10 8 1888
100 25 10 8 1168
100 25 10 8 2912
100 25 10 8 2416
100 25 10 8 5504
100 25 10 8 1488
100 25 10 8 2000
100 25 10 8 1952
100 25 10 8 752
100 25 10 8 1904
100 25 10 8 1984
100 25 10 8 4432
100 25 10 8 960
100 25 10 8 2160
100 25 10 8 2336
100 25 10 8 2240
100 25 10 8 1744
100 25 10 8 1952
100 25 10 8 1840
100 25 10 8 880
100 25 10 8 1440
100 25 10 8 5168
100 25 10 8 1840
100 25 10 8 1264
100 25 10 8 2304
100 25 10 8 1824
100 25 10 8 3856
100 25 10 8 3472
100 25 10 8 1968
100 25 10 8 1456
100 25 10 8 2144
100 25 10 8 3056
100 25 10 8 3040
100 25 10 8 1376
100 25 10 8 1984
100 25 10 8 3392
100 25 10 8 5296
100 25 10 8 4016
100 25 10 8 944
100 25 10 8 2864
100 25 10 8 1040
100 25 10 8 2160
100 25 10 8 1120
100 25 10 8 2112
100 25 10 8 1488
100 25 10 8 2512
100 25 10 8 2144
100 25 10 8 1728
100 25 10 8 2672
100 25 10 8 2464
100 25 10 8 1232
100 25 10 8 1008
100 25 10 8 2224
100 25 10 8 1760
100 25 10 8 1328
100 25 10 8 784
100 25 10 8 2160
100 25 10 8 3408
100 25 10 8 5040
100 25 10 8 944
100 25 10 8 2864
100 25 10 8 1568
100 25 10 8 3184
