GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   MMASib

DATE:   2015-12-4 (year-month-day)
TIME:   16:6:29 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION N_ANTS EVAPORATION SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 5 0.045 10 5 18400
100 5 0.045 10 5 12800
100 5 0.045 10 5 15975
100 5 0.045 10 5 12825
100 5 0.045 10 5 10625
100 5 0.045 10 5 23575
100 5 0.045 10 5 20425
100 5 0.045 10 5 11275
100 5 0.045 10 5 9000
100 5 0.045 10 5 24325
100 5 0.045 10 5 24650
100 5 0.045 10 5 12225
100 5 0.045 10 5 20800
100 5 0.045 10 5 14025
100 5 0.045 10 5 42700
100 5 0.045 10 5 22850
100 5 0.045 10 5 19175
100 5 0.045 10 5 14125
100 5 0.045 10 5 11950
100 5 0.045 10 5 15000
100 5 0.045 10 5 23975
100 5 0.045 10 5 20375
100 5 0.045 10 5 28750
100 5 0.045 10 5 15075
100 5 0.045 10 5 13550
100 5 0.045 10 5 28600
100 5 0.045 10 5 20050
100 5 0.045 10 5 19250
100 5 0.045 10 5 16300
100 5 0.045 10 5 25925
100 5 0.045 10 5 19900
100 5 0.045 10 5 15100
100 5 0.045 10 5 26025
100 5 0.045 10 5 31075
100 5 0.045 10 5 15875
100 5 0.045 10 5 17700
100 5 0.045 10 5 21250
100 5 0.045 10 5 14725
100 5 0.045 10 5 14875
100 5 0.045 10 5 14300
100 5 0.045 10 5 15775
100 5 0.045 10 5 13950
100 5 0.045 10 5 17375
100 5 0.045 10 5 11800
100 5 0.045 10 5 13100
100 5 0.045 10 5 10100
